facenum,block,emotion,reward
8,3,scram,IEV
20,3,scram,IEV
5,3,scram,IEV
19,3,scram,IEV
24,3,scram,IEV
6,3,scram,IEV
7,3,scram,IEV
22,3,scram,IEV
12,3,scram,IEV
4,3,scram,IEV
3,3,scram,IEV
25,3,scram,IEV
11,3,scram,IEV
14,3,scram,IEV
15,3,scram,IEV
9,3,scram,IEV
21,3,scram,IEV
18,3,scram,IEV
10,3,scram,IEV
13,3,scram,IEV
14,3,scram,IEV
9,3,scram,IEV
8,3,scram,IEV
10,3,scram,IEV
2,3,scram,IEV
4,3,scram,IEV
5,3,scram,IEV
15,3,scram,IEV
17,3,scram,IEV
19,3,scram,IEV
21,3,scram,IEV
12,3,scram,IEV
6,3,scram,IEV
24,3,scram,IEV
7,3,scram,IEV
1,3,scram,IEV
3,3,scram,IEV
16,3,scram,IEV
13,3,scram,IEV
18,3,scram,IEV
25,3,scram,IEV
22,3,scram,IEV
20,3,scram,IEV
11,3,scram,IEV
23,3,scram,IEV
1,3,fear,DEV
10,3,fear,DEV
15,3,fear,DEV
22,3,fear,DEV
21,3,fear,DEV
19,3,fear,DEV
13,3,fear,DEV
5,3,fear,DEV
4,3,fear,DEV
25,3,fear,DEV
11,3,fear,DEV
23,3,fear,DEV
17,3,fear,DEV
20,3,fear,DEV
2,3,fear,DEV
16,3,fear,DEV
3,3,fear,DEV
12,3,fear,DEV
6,3,fear,DEV
7,3,fear,DEV
18,3,fear,DEV
8,3,fear,DEV
14,3,fear,DEV
9,3,fear,DEV
24,3,fear,DEV
23,3,fear,DEV
2,3,fear,DEV
21,3,fear,DEV
4,3,fear,DEV
14,3,fear,DEV
8,3,fear,DEV
13,3,fear,DEV
3,3,fear,DEV
1,3,fear,DEV
20,3,fear,DEV
15,3,fear,DEV
22,3,fear,DEV
24,3,fear,DEV
12,3,fear,DEV
10,3,fear,DEV
19,3,fear,DEV
16,3,fear,DEV
7,3,fear,DEV
6,3,fear,DEV
25,3,fear,DEV
17,3,fear,DEV
18,3,fear,DEV
11,3,fear,DEV
5,3,fear,DEV
9,3,fear,DEV
18,4,scram,CEV
2,4,scram,CEV
14,4,scram,CEV
5,4,scram,CEV
7,4,scram,CEV
8,4,scram,CEV
4,4,scram,CEV
9,4,scram,CEV
20,4,scram,CEV
11,4,scram,CEV
24,4,scram,CEV
1,4,scram,CEV
12,4,scram,CEV
6,4,scram,CEV
21,4,scram,CEV
23,4,scram,CEV
22,4,scram,CEV
25,4,scram,CEV
17,4,scram,CEV
10,4,scram,CEV
19,4,scram,CEV
15,4,scram,CEV
13,4,scram,CEV
3,4,scram,CEV
16,4,scram,CEV
20,4,scram,CEV
12,4,scram,CEV
14,4,scram,CEV
13,4,scram,CEV
11,4,scram,CEV
24,4,scram,CEV
21,4,scram,CEV
3,4,scram,CEV
10,4,scram,CEV
9,4,scram,CEV
2,4,scram,CEV
5,4,scram,CEV
15,4,scram,CEV
17,4,scram,CEV
1,4,scram,CEV
8,4,scram,CEV
4,4,scram,CEV
23,4,scram,CEV
6,4,scram,CEV
18,4,scram,CEV
22,4,scram,CEV
16,4,scram,CEV
25,4,scram,CEV
19,4,scram,CEV
7,4,scram,CEV
11,4,fear,IEV
8,4,fear,IEV
17,4,fear,IEV
13,4,fear,IEV
5,4,fear,IEV
23,4,fear,IEV
18,4,fear,IEV
19,4,fear,IEV
6,4,fear,IEV
16,4,fear,IEV
1,4,fear,IEV
10,4,fear,IEV
4,4,fear,IEV
2,4,fear,IEV
21,4,fear,IEV
9,4,fear,IEV
12,4,fear,IEV
24,4,fear,IEV
25,4,fear,IEV
20,4,fear,IEV
7,4,fear,IEV
22,4,fear,IEV
14,4,fear,IEV
15,4,fear,IEV
3,4,fear,IEV
9,4,fear,IEV
24,4,fear,IEV
14,4,fear,IEV
2,4,fear,IEV
22,4,fear,IEV
10,4,fear,IEV
25,4,fear,IEV
8,4,fear,IEV
16,4,fear,IEV
6,4,fear,IEV
5,4,fear,IEV
17,4,fear,IEV
20,4,fear,IEV
21,4,fear,IEV
13,4,fear,IEV
7,4,fear,IEV
12,4,fear,IEV
11,4,fear,IEV
23,4,fear,IEV
4,4,fear,IEV
19,4,fear,IEV
3,4,fear,IEV
15,4,fear,IEV
18,4,fear,IEV
1,4,fear,IEV
