facenum,block,emotion,reward
25,2,fear,DEV
11,2,fear,DEV
23,2,fear,DEV
17,2,fear,DEV
20,2,fear,DEV
2,2,fear,DEV
16,2,fear,DEV
3,2,fear,DEV
12,2,fear,DEV
6,2,fear,DEV
7,2,fear,DEV
18,2,fear,DEV
8,2,fear,DEV
14,2,fear,DEV
9,2,fear,DEV
24,2,fear,DEV
23,2,fear,DEV
2,2,fear,DEV
21,2,fear,DEV
4,2,fear,DEV
14,2,fear,DEV
8,2,fear,DEV
13,2,fear,DEV
3,2,fear,DEV
1,2,fear,DEV
20,2,fear,DEV
15,2,fear,DEV
22,2,fear,DEV
24,2,fear,DEV
12,2,fear,DEV
10,2,fear,DEV
19,2,fear,DEV
16,2,fear,DEV
7,2,fear,DEV
6,2,fear,DEV
25,2,fear,DEV
17,2,fear,DEV
18,2,fear,DEV
11,2,fear,DEV
5,2,fear,DEV
9,2,fear,DEV
11,2,fear,IEV
8,2,fear,IEV
17,2,fear,IEV
13,2,fear,IEV
5,2,fear,IEV
23,2,fear,IEV
18,2,fear,IEV
19,2,fear,IEV
6,2,fear,IEV
16,2,fear,IEV
1,2,fear,IEV
10,2,fear,IEV
4,2,fear,IEV
2,2,fear,IEV
21,2,fear,IEV
9,2,fear,IEV
12,2,fear,IEV
24,2,fear,IEV
25,2,fear,IEV
20,2,fear,IEV
7,2,fear,IEV
22,2,fear,IEV
14,2,fear,IEV
15,2,fear,IEV
3,2,fear,IEV
9,2,fear,IEV
24,2,fear,IEV
14,2,fear,IEV
2,2,fear,IEV
22,2,fear,IEV
10,2,fear,IEV
25,2,fear,IEV
8,2,fear,IEV
16,2,fear,IEV
6,2,fear,IEV
5,2,fear,IEV
17,2,fear,IEV
20,2,fear,IEV
21,2,fear,IEV
13,2,fear,IEV
7,2,fear,IEV
12,2,fear,IEV
11,2,fear,IEV
23,2,fear,IEV
4,2,fear,IEV
19,2,fear,IEV
3,2,fear,IEV
15,2,fear,IEV
18,2,fear,IEV
1,2,fear,IEV
